Year,Year ending,Police Region,Local Government Area,Incidents Recorded,Rate,LGA
2021,June,1 North West Metro, Moonee Valley,6170,5017.68796,Moonee Valley
2021,June,1 North West Metro, Moreland,10104,5822.25526,Moreland
2021,June,1 North West Metro, Nillumbik,1476,2326.094494,Nillumbik
2021,June,1 North West Metro, Whittlesea,11170,4818.830107,Whittlesea
2021,June,1 North West Metro, Wyndham,12741,4301.587141,Wyndham
2021,June,1 North West Metro, Yarra,10281,11230.78772,Yarra
2021,June,1 North West Metro,Total,145751,6582.147802,Total
2021,June,2 Eastern, Alpine,372,2827.607175,Alpine
2021,June,2 Eastern, Bass Coast,2138,5260.697325,Bass Coast
2021,June,2 Eastern, Baw Baw,3427,5951.719347,Baw Baw
2021,June,2 Eastern, Benalla,1002,6943.385767,Benalla
2021,June,2 Eastern, Boroondara,5499,3236.59072,Boroondara
2021,June,2 Eastern, East Gippsland,3570,7367.964832,East Gippsland
2021,June,2 Eastern, Greater Shepparton,5915,8632.26409,Greater Shepparton
2021,June,2 Eastern, Indigo,417,2417.531451,Indigo
2021,June,2 Eastern, Knox,7805,4863.413175,Knox
2021,June,2 Eastern, Latrobe,8766,11371.71471,Latrobe
2021,June,2 Eastern, Manningham,3309,2629.801235,Manningham
2021,June,2 Eastern, Mansfield,400,3955.696203,Mansfield
2021,June,2 Eastern, Maroondah,5667,4881.977946,Maroondah
2021,June,2 Eastern, Mitchell,2992,6022.059416,Mitchell
2021,June,2 Eastern, Moira,1709,5630.786465,Moira
2021,June,2 Eastern, Monash,9370,4853.639712,Monash
2021,June,2 Eastern, Murrindindi,636,4202.458041,Murrindindi
2021,June,2 Eastern, South Gippsland,1284,4226.743038,South Gippsland
2021,June,2 Eastern, Strathbogie,478,4206.2654,Strathbogie
2021,June,2 Eastern, Towong,168,2717.127608,Towong
2021,June,2 Eastern, Wangaratta,1628,5474.108944,Wangaratta
2021,June,2 Eastern, Wellington,3102,6824.782188,Wellington
2021,June,2 Eastern, Whitehorse,6608,3860.557234,Whitehorse
2021,June,2 Eastern, Wodonga,2372,5492.9023,Wodonga
2021,June,2 Eastern, Yarra Ranges,5879,3734.619074,Yarra Ranges
