Year,Local Government Area,Criminal Incident Rate,LGA
2015, Hepburn,"3,534.60",Hepburn
2015, Hindmarsh,"2,410.50",Hindmarsh
2015, Horsham,"9,599.80",Horsham
2015, Loddon,"3,425.80",Loddon
2015, Macedon Ranges,"3,165.60",Macedon Ranges
2015, Mildura,"8,464.40",Mildura
2015, Moorabool,"4,800.30",Moorabool
2015, Mount Alexander,"3,453.20",Mount Alexander
2015, Moyne,"2,579.70",Moyne
2015, Northern Grampians,"6,638.60",Northern Grampians
2015, Pyrenees,"5,140.00",Pyrenees
2015, Queenscliffe,"4,125.50",Queenscliffe
2015, Southern Grampians,"4,467.30",Southern Grampians
2015, Surf Coast,"3,189.90",Surf Coast
2015, Swan Hill,"7,739.40",Swan Hill
2015, Warrnambool,"6,049.10",Warrnambool
2015, West Wimmera,"2,189.20",West Wimmera
2015, Yarriambiack,"3,369.50",Yarriambiack
2014, Banyule,"5,468.90",Banyule
2014, Brimbank,"7,218.80",Brimbank
2014, Darebin,"7,329.20",Darebin
2014, Hobsons Bay,"6,113.90",Hobsons Bay
2014, Hume,"6,748.80",Hume
2014, Maribyrnong,"8,390.40",Maribyrnong
2014, Melbourne,"18,770.90",Melbourne
2014, Melton,"5,713.40",Melton
2014, Moonee Valley,"5,355.70",Moonee Valley
2014, Moreland,"6,063.40",Moreland
2014, Nillumbik,"2,550.70",Nillumbik
2014, Whittlesea,"5,516.80",Whittlesea
2014, Wyndham,"5,100.90",Wyndham
2014, Yarra,"11,348.40",Yarra
2014, Alpine,"2,622.40",Alpine
2014, Bass Coast,"6,679.80",Bass Coast
2014, Baw Baw,"4,738.00",Baw Baw
2014, Benalla,"6,116.00",Benalla
2014, Boroondara,"3,549.80",Boroondara
2014, East Gippsland,"6,545.20",East Gippsland
2014, Greater Shepparton,"8,487.30",Greater Shepparton
2014, Indigo,"2,129.40",Indigo
2014, Knox,"4,643.90",Knox
2014, Latrobe,"10,174.80",Latrobe
2014, Manningham,"2,661.70",Manningham
2014, Mansfield,"4,014.30",Mansfield
2014, Maroondah,"5,280.00",Maroondah
2014, Mitchell,"5,255.30",Mitchell
2014, Moira,"3,869.40",Moira
2014, Monash,"3,754.50",Monash
2014, Murrindindi,"3,799.20",Murrindindi
2014, South Gippsland,"3,039.90",South Gippsland
2014, Strathbogie,"3,683.40",Strathbogie
2014, Towong,"3,326.60",Towong
2014, Wangaratta,"6,047.70",Wangaratta
2014, Wellington,"6,535.80",Wellington
2014, Whitehorse,"3,529.70",Whitehorse
2014, Wodonga,"6,163.80",Wodonga
2014, Yarra Ranges,"3,531.00",Yarra Ranges
2014, Bayside,"3,376.90",Bayside
2014, Cardinia,"4,636.10",Cardinia
2014, Casey,"4,250.90",Casey
2014, Frankston,"8,019.50",Frankston
2014, Glen Eira,"3,163.70",Glen Eira
2014, Greater Dandenong,"7,936.40",Greater Dandenong
2014, Kingston,"4,783.70",Kingston
2014, Mornington Peninsula,"4,985.90",Mornington Peninsula
2014, Port Phillip,"8,336.00",Port Phillip
2014, Stonnington,"6,869.10",Stonnington
2014, Ararat,"6,617.60",Ararat
2014, Ballarat,"7,600.50",Ballarat
2014, Buloke,"2,541.40",Buloke
2014, Campaspe,"5,702.00",Campaspe
2014, Central Goldfields,"5,867.70",Central Goldfields
2014, Colac-Otway,"5,456.40",Colac-Otway
2014, Corangamite,"2,907.00",Corangamite
2014, Gannawarra,"4,290.90",Gannawarra
2014, Glenelg,"6,499.60",Glenelg
2014, Golden Plains,"1,866.10",Golden Plains
2014, Greater Bendigo,"5,732.90",Greater Bendigo
2014, Greater Geelong,"6,135.80",Greater Geelong
2014, Hepburn,"3,299.50",Hepburn
2014, Hindmarsh,"2,549.60",Hindmarsh
2014, Horsham,"7,276.70",Horsham
2014, Loddon,"3,367.50",Loddon
2014, Macedon Ranges,"3,188.80",Macedon Ranges
2014, Mildura,"8,608.60",Mildura
2014, Moorabool,"4,513.00",Moorabool
2014, Mount Alexander,"3,416.00",Mount Alexander
2014, Moyne,"2,810.10",Moyne
2014, Northern Grampians,"5,502.30",Northern Grampians
2014, Pyrenees,"5,037.60",Pyrenees
2014, Queenscliffe,"2,862.00",Queenscliffe
2014, Southern Grampians,"4,976.90",Southern Grampians
2014, Surf Coast,"3,546.40",Surf Coast
2014, Swan Hill,"7,201.50",Swan Hill
2014, Warrnambool,"5,511.60",Warrnambool
2014, West Wimmera,"2,426.90",West Wimmera
2014, Yarriambiack,"2,773.00",Yarriambiack
2013, Banyule,"4,584.40",Banyule
2013, Brimbank,"7,780.00",Brimbank
2013, Darebin,"6,197.40",Darebin
2013, Hobsons Bay,"6,474.00",Hobsons Bay
2013, Hume,"6,267.00",Hume
2013, Maribyrnong,"8,807.80",Maribyrnong
2013, Melbourne,"20,712.50",Melbourne
2013, Melton,"5,258.40",Melton
2013, Moonee Valley,"5,721.30",Moonee Valley
2013, Moreland,"5,777.30",Moreland
2013, Nillumbik,"2,336.40",Nillumbik
2013, Whittlesea,"5,202.70",Whittlesea
2013, Wyndham,"5,288.90",Wyndham
2013, Yarra,"10,501.20",Yarra
2013, Alpine,"2,572.70",Alpine
2013, Bass Coast,"5,700.40",Bass Coast
2013, Baw Baw,"4,773.50",Baw Baw
2013, Benalla,"5,843.80",Benalla
2013, Boroondara,"3,381.50",Boroondara
2013, East Gippsland,"6,866.20",East Gippsland
2013, Greater Shepparton,"7,738.30",Greater Shepparton
2013, Indigo,"2,223.60",Indigo
2013, Knox,"4,283.40",Knox
2013, Latrobe,"10,340.80",Latrobe
2013, Manningham,"2,376.70",Manningham
2013, Mansfield,"3,226.20",Mansfield
2013, Maroondah,"4,673.90",Maroondah
2013, Mitchell,"5,038.60",Mitchell
2013, Moira,"3,615.30",Moira
2013, Monash,"3,616.30",Monash
2013, Murrindindi,"3,524.30",Murrindindi
2013, South Gippsland,"3,448.50",South Gippsland
2013, Strathbogie,"4,084.30",Strathbogie
2013, Towong,"3,120.30",Towong
2013, Wangaratta,"6,202.50",Wangaratta
2013, Wellington,"6,797.60",Wellington
2013, Whitehorse,"3,482.80",Whitehorse
2013, Wodonga,"6,280.80",Wodonga
2013, Yarra Ranges,"3,331.30",Yarra Ranges
2013, Bayside,"3,501.20",Bayside
2013, Cardinia,"4,722.70",Cardinia
2013, Casey,"4,299.30",Casey
2013, Frankston,"7,967.20",Frankston
2013, Glen Eira,"3,293.90",Glen Eira
2013, Greater Dandenong,"8,218.10",Greater Dandenong
2013, Kingston,"4,678.50",Kingston
2013, Mornington Peninsula,"4,642.80",Mornington Peninsula
2013, Port Phillip,"8,854.10",Port Phillip
2013, Stonnington,"6,997.00",Stonnington
2013, Ararat,"7,650.10",Ararat
2013, Ballarat,"8,158.10",Ballarat
2013, Buloke,"3,506.60",Buloke
2013, Campaspe,"5,909.20",Campaspe
2013, Central Goldfields,"6,773.30",Central Goldfields
2013, Colac-Otway,"5,082.00",Colac-Otway
2013, Corangamite,"2,845.80",Corangamite
2013, Gannawarra,"4,104.10",Gannawarra
2013, Glenelg,"5,551.30",Glenelg
2013, Golden Plains,"1,984.10",Golden Plains
2013, Greater Bendigo,"5,477.70",Greater Bendigo
2013, Greater Geelong,"6,077.70",Greater Geelong
2013, Hepburn,"3,608.00",Hepburn
2013, Hindmarsh,"3,639.80",Hindmarsh
2013, Horsham,"6,651.80",Horsham
2013, Loddon,"4,070.20",Loddon
2013, Macedon Ranges,"3,027.20",Macedon Ranges
2013, Mildura,"8,527.70",Mildura
2013, Moorabool,"4,820.80",Moorabool
2013, Mount Alexander,"3,408.80",Mount Alexander
2013, Moyne,"2,872.60",Moyne
2013, Northern Grampians,"5,799.70",Northern Grampians
2013, Pyrenees,"3,834.00",Pyrenees
2013, Queenscliffe,"2,831.40",Queenscliffe
2013, Southern Grampians,"5,019.90",Southern Grampians
2013, Surf Coast,"3,680.70",Surf Coast
2013, Swan Hill,"6,637.10",Swan Hill
2013, Warrnambool,"5,523.10",Warrnambool
2013, West Wimmera,"3,613.00",West Wimmera
2013, Yarriambiack,"3,526.70",Yarriambiack
