Year,Local Government Area,Criminal Incident Rate,LGA
2021, Mount Alexander,"3,466.60",Mount Alexander
2021, Moyne,"2,943.70",Moyne
2021, Northern Grampians,"7,522.10",Northern Grampians
2021, Pyrenees,"4,466.00",Pyrenees
2021, Queenscliffe,"2,411.10",Queenscliffe
2021, Southern Grampians,"4,742.80",Southern Grampians
2021, Surf Coast,"3,117.80",Surf Coast
2021, Swan Hill,"8,600.30",Swan Hill
2021, Warrnambool,"6,321.50",Warrnambool
2021, West Wimmera,"3,017.30",West Wimmera
2021, Yarriambiack,"4,530.80",Yarriambiack
2020, Banyule,"5,316.60",Banyule
2020, Brimbank,"7,658.40",Brimbank
2020, Darebin,"7,446.20",Darebin
2020, Hobsons Bay,"4,986.90",Hobsons Bay
2020, Hume,"6,419.70",Hume
2020, Maribyrnong,"8,183.00",Maribyrnong
2020, Melbourne,"15,440.30",Melbourne
2020, Melton,"5,536.50",Melton
2020, Moonee Valley,"5,242.30",Moonee Valley
2020, Moreland,"6,131.90",Moreland
2020, Nillumbik,"2,531.30",Nillumbik
2020, Whittlesea,"5,228.50",Whittlesea
2020, Wyndham,"4,785.30",Wyndham
2020, Yarra,"11,853.30",Yarra
2020, Alpine,"3,377.30",Alpine
2020, Bass Coast,"4,767.30",Bass Coast
2020, Baw Baw,"6,471.10",Baw Baw
2020, Benalla,"6,616.50",Benalla
2020, Boroondara,"3,807.60",Boroondara
2020, East Gippsland,"7,666.90",East Gippsland
2020, Greater Shepparton,"9,253.00",Greater Shepparton
2020, Indigo,"2,598.20",Indigo
2020, Knox,"5,553.90",Knox
2020, Latrobe,"13,135.90",Latrobe
2020, Manningham,"2,799.30",Manningham
2020, Mansfield,"3,325.80",Mansfield
2020, Maroondah,"4,963.80",Maroondah
2020, Mitchell,"6,604.30",Mitchell
2020, Moira,"5,819.30",Moira
2020, Monash,"4,745.80",Monash
2020, Murrindindi,"4,223.10",Murrindindi
2020, South Gippsland,"4,238.60",South Gippsland
2020, Strathbogie,"3,842.40",Strathbogie
2020, Towong,"2,500.00",Towong
2020, Wangaratta,"6,064.20",Wangaratta
2020, Wellington,"7,359.70",Wellington
2020, Whitehorse,"4,176.70",Whitehorse
2020, Wodonga,"6,616.90",Wodonga
2020, Yarra Ranges,"3,870.60",Yarra Ranges
2020, Bayside,"3,870.10",Bayside
2020, Cardinia,"4,673.20",Cardinia
2020, Casey,"4,780.60",Casey
2020, Frankston,"7,925.50",Frankston
2020, Glen Eira,"4,086.60",Glen Eira
2020, Greater Dandenong,"8,800.60",Greater Dandenong
2020, Kingston,"5,465.60",Kingston
2020, Mornington Peninsula,"5,124.40",Mornington Peninsula
2020, Port Phillip,"8,931.90",Port Phillip
2020, Stonnington,"8,308.40",Stonnington
2020, Ararat,"8,423.00",Ararat
2020, Ballarat,"7,585.50",Ballarat
2020, Buloke,"4,572.10",Buloke
2020, Campaspe,"6,908.20",Campaspe
2020, Central Goldfields,"6,459.90",Central Goldfields
2020, Colac-Otway,"6,196.60",Colac-Otway
2020, Corangamite,"3,581.00",Corangamite
2020, Gannawarra,"5,597.70",Gannawarra
2020, Glenelg,"5,717.60",Glenelg
2020, Golden Plains,"1,924.20",Golden Plains
2020, Greater Bendigo,"6,901.80",Greater Bendigo
2020, Greater Geelong,"6,442.20",Greater Geelong
2020, Hepburn,"4,267.30",Hepburn
2020, Hindmarsh,"4,505.30",Hindmarsh
2020, Horsham,"7,159.40",Horsham
2020, Loddon,"4,761.90",Loddon
2020, Macedon Ranges,"3,416.90",Macedon Ranges
2020, Mildura,"9,616.30",Mildura
2020, Moorabool,"4,631.00",Moorabool
2020, Mount Alexander,"4,255.00",Mount Alexander
2020, Moyne,"2,936.00",Moyne
