Year,Year ending,Age Group,Sex,Harm Caused Flag,Victim Reports
2022,June,70-74,Females,Low Harm,1327
2022,June,70-74,Females,Medium Harm,311
2022,June,70-74,Males,High Harm,184
2022,June,70-74,Males,Low Harm,1818
2022,June,70-74,Males,Medium Harm,439
2022,June,70-74,People,High Harm,335
2022,June,70-74,People,Low Harm,3145
2022,June,70-74,People,Medium Harm,750
2022,June,75+,Females,High Harm,226
2022,June,75+,Females,Low Harm,1758
2022,June,75+,Females,Medium Harm,450
2022,June,75+,Males,High Harm,257
2022,June,75+,Males,Low Harm,2131
2022,June,75+,Males,Medium Harm,522
2022,June,75+,People,High Harm,483
2022,June,75+,People,Low Harm,3889
2022,June,75+,People,Medium Harm,972
2022,June,Total,Females,High Harm,16675
2022,June,Total,Females,Low Harm,47238
2022,June,Total,Females,Medium Harm,23971
2022,June,Total,Males,High Harm,14629
2022,June,Total,Males,Low Harm,64923
2022,June,Total,Males,Medium Harm,22661
2022,June,Total,People,High Harm,31503
2022,June,Total,People,Low Harm,114576
2022,June,Total,People,Medium Harm,47178
2021,June,0-4,Females,High Harm,151
2021,June,0-4,Females,Low Harm,23
2021,June,0-4,Females,Medium Harm,134
2021,June,0-4,Males,High Harm,128
2021,June,0-4,Males,Low Harm,45
2021,June,0-4,Males,Medium Harm,172
2021,June,0-4,People,High Harm,279
2021,June,0-4,People,Low Harm,68
2021,June,0-4,People,Medium Harm,306
2021,June,5-9,Females,High Harm,319
2021,June,5-9,Females,Low Harm,22
2021,June,5-9,Females,Medium Harm,248
2021,June,5-9,Males,High Harm,217
2021,June,5-9,Males,Low Harm,34
2021,June,5-9,Males,Medium Harm,358
2021,June,5-9,People,High Harm,536
2021,June,5-9,People,Low Harm,56
2021,June,5-9,People,Medium Harm,606
2021,June,10-14,Females,High Harm,1424
2021,June,10-14,Females,Low Harm,172
2021,June,10-14,Females,Medium Harm,965
2021,June,10-14,Males,High Harm,644
2021,June,10-14,Males,Low Harm,449
2021,June,10-14,Males,Medium Harm,897
2021,June,10-14,People,High Harm,2068
2021,June,10-14,People,Low Harm,622
2021,June,10-14,People,Medium Harm,1863
2021,June,15-17,Females,High Harm,1677
2021,June,15-17,Females,Low Harm,371
2021,June,15-17,Females,Medium Harm,1060
2021,June,15-17,Males,High Harm,934
2021,June,15-17,Males,Low Harm,783
2021,June,15-17,Males,Medium Harm,919
2021,June,15-17,People,High Harm,2613
2021,June,15-17,People,Low Harm,1154
2021,June,15-17,People,Medium Harm,1980
2021,June,18-19,Females,High Harm,844
2021,June,18-19,Females,Low Harm,975
2021,June,18-19,Females,Medium Harm,938
2021,June,18-19,Males,High Harm,544
2021,June,18-19,Males,Low Harm,1246
2021,June,18-19,Males,Medium Harm,708
2021,June,18-19,People,High Harm,1388
2021,June,18-19,People,Low Harm,2221
2021,June,18-19,People,Medium Harm,1646
2021,June,20-24,Females,High Harm,2040
2021,June,20-24,Females,Low Harm,4677
2021,June,20-24,Females,Medium Harm,2674
2021,June,20-24,Males,High Harm,1625
2021,June,20-24,Males,Low Harm,6043
2021,June,20-24,Males,Medium Harm,2388
2021,June,20-24,People,High Harm,3665
2021,June,20-24,People,Low Harm,10726
2021,June,20-24,People,Medium Harm,5062
2021,June,25-29,Females,High Harm,2259
2021,June,25-29,Females,Low Harm,6068
2021,June,25-29,Females,Medium Harm,3112
2021,June,25-29,Males,High Harm,2124
2021,June,25-29,Males,Low Harm,8658
2021,June,25-29,Males,Medium Harm,2937
2021,June,25-29,People,High Harm,4383
2021,June,25-29,People,Low Harm,14731
2021,June,25-29,People,Medium Harm,6050
2021,June,30-34,Females,High Harm,1946
2021,June,30-34,Females,Low Harm,6247
2021,June,30-34,Females,Medium Harm,3246
2021,June,30-34,Males,High Harm,1970
2021,June,30-34,Males,Low Harm,8567
2021,June,30-34,Males,Medium Harm,2567
2021,June,30-34,People,High Harm,3916
2021,June,30-34,People,Low Harm,14821
2021,June,30-34,People,Medium Harm,5813
2021,June,35-39,Females,High Harm,1660
2021,June,35-39,Females,Low Harm,5637
2021,June,35-39,Females,Medium Harm,2779
2021,June,35-39,Males,High Harm,1529
2021,June,35-39,Males,Low Harm,7764
2021,June,35-39,Males,Medium Harm,2261
2021,June,35-39,People,High Harm,3189
2021,June,35-39,People,Low Harm,13404
2021,June,35-39,People,Medium Harm,5040
2021,June,40-44,Females,High Harm,1283
2021,June,40-44,Females,Low Harm,4713
2021,June,40-44,Females,Medium Harm,2320
2021,June,40-44,Males,High Harm,1246
2021,June,40-44,Males,Low Harm,6485
2021,June,40-44,Males,Medium Harm,1931
2021,June,40-44,People,High Harm,2529
2021,June,40-44,People,Low Harm,11198
2021,June,40-44,People,Medium Harm,4251
2021,June,45-49,Females,High Harm,1109
2021,June,45-49,Females,Low Harm,4927
2021,June,45-49,Females,Medium Harm,2059
2021,June,45-49,Males,High Harm,1199
2021,June,45-49,Males,Low Harm,6158
2021,June,45-49,Males,Medium Harm,1865
2021,June,45-49,People,High Harm,2308
2021,June,45-49,People,Low Harm,11086
2021,June,45-49,People,Medium Harm,3924
2021,June,50-54,Females,High Harm,848
2021,June,50-54,Females,Low Harm,4164
2021,June,50-54,Females,Medium Harm,1650
2021,June,50-54,Males,High Harm,944
2021,June,50-54,Males,Low Harm,5603
2021,June,50-54,Males,Medium Harm,1675
2021,June,50-54,People,High Harm,1792
2021,June,50-54,People,Low Harm,9768
2021,June,50-54,People,Medium Harm,3326
2021,June,55-59,Females,High Harm,502
2021,June,55-59,Females,Low Harm,3336
2021,June,55-59,Females,Medium Harm,1093
2021,June,55-59,Males,High Harm,715
2021,June,55-59,Males,Low Harm,4842
2021,June,55-59,Males,Medium Harm,1375
2021,June,55-59,People,High Harm,1217
2021,June,55-59,People,Low Harm,8178
2021,June,55-59,People,Medium Harm,2468
2021,June,60-64,Females,High Harm,318
2021,June,60-64,Females,Low Harm,2560
2021,June,60-64,Females,Medium Harm,706
2021,June,60-64,Males,High Harm,423
2021,June,60-64,Males,Low Harm,3729
2021,June,60-64,Males,Medium Harm,1031
2021,June,60-64,People,High Harm,741
