Year,Year ending,Police Region,Local Government Area,Family Incidents,Rate
2021,June,2 Eastern, Mitchell,1222.00,2459.54
2021,June,2 Eastern, Moira,495.00,1630.92
2021,June,2 Eastern, Monash,1810.00,937.58
2021,June,2 Eastern, Murrindindi,208.00,1374.39
2021,June,2 Eastern, South Gippsland,532.00,1751.27
2021,June,2 Eastern, Strathbogie,184.00,1619.15
2021,June,2 Eastern, Towong,66.00,1067.44
2021,June,2 Eastern, Wangaratta,634.00,2131.81
2021,June,2 Eastern, Wellington,1344.00,2956.97
2021,June,2 Eastern, Whitehorse,1461.00,853.55
2021,June,2 Eastern, Wodonga,769.00,1780.79
2021,June,2 Eastern, Yarra Ranges,1727.00,1097.07
2021,June,2 Eastern,Total,24244.00,1423.92
2021,June,3 Southern Metro, Bayside,752.00,734.83
2021,June,3 Southern Metro, Cardinia,1553.00,1299.35
2021,June,3 Southern Metro, Casey,5487.00,1485.17
2021,June,3 Southern Metro, Frankston,2723.00,1933.83
2021,June,3 Southern Metro, Glen Eira,1089.00,722.70
2021,June,3 Southern Metro, Greater Dandenong,2787.00,1740.02
2021,June,3 Southern Metro, Kingston,1692.00,1060.37
2021,June,3 Southern Metro, Mornington Peninsula,2158.00,1266.51
2021,June,3 Southern Metro, Port Phillip,1394.00,1346.76
2021,June,3 Southern Metro, Stonnington,1009.00,949.40
2021,June,3 Southern Metro,Total,20644.00,1304.34
2021,June,4 Western, Ararat,331.00,2800.10
2021,June,4 Western, Ballarat,2369.00,2087.56
2021,June,4 Western, Buloke,72.00,1174.55
2021,June,4 Western, Campaspe,781.00,2026.20
2021,June,4 Western, Central Goldfields,320.00,2391.27
2021,June,4 Western, Colac-Otway,418.00,1874.10
2021,June,4 Western, Corangamite,147.00,917.09
2021,June,4 Western, Gannawarra,190.00,1790.43
2021,June,4 Western, Glenelg,428.00,2134.02
2021,June,4 Western, Golden Plains,186.00,747.62
2021,June,4 Western, Greater Bendigo,2528.00,2085.45
2021,June,4 Western, Greater Geelong,4315.00,1593.57
2021,June,4 Western, Hepburn,168.00,1019.66
2021,June,4 Western, Hindmarsh,110.00,1944.84
2021,June,4 Western, Horsham,543.00,2665.82
2021,June,4 Western, Loddon,137.00,1779.22
2021,June,4 Western, Macedon Ranges,443.00,858.93
2021,June,4 Western, Mildura,1635.00,2869.98
2021,June,4 Western, Moorabool,509.00,1343.19
2021,June,4 Western, Mount Alexander,201.00,999.70
2021,June,4 Western, Moyne,191.00,1104.62
2021,June,4 Western, Northern Grampians,299.00,2515.78
2021,June,4 Western, Pyrenees,112.00,1471.17
2021,June,4 Western, Queenscliffe,15.00,463.68
2021,June,4 Western, Southern Grampians,306.00,1855.90
2021,June,4 Western, Surf Coast,295.00,784.09
2021,June,4 Western, Swan Hill,679.00,3175.42
2021,June,4 Western, Warrnambool,638.00,1801.29
2021,June,4 Western, West Wimmera,42.00,1056.07
2021,June,4 Western, Yarriambiack,105.00,1612.66
2021,June,4 Western,Total,18513.00,1767.50
2021,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,189.00,
2021,June,Justice Institutions and Immigration Facilities,Total,189.00,
2021,June,Unincorporated Vic, Unincorporated Vic,5.00,
2021,June,Unincorporated Vic,Total,5.00,
2020,June,1 North West Metro, Banyule,1383.00,1062.86
2020,June,1 North West Metro, Brimbank,2945.00,1443.63
2020,June,1 North West Metro, Darebin,1801.00,1148.06
2020,June,1 North West Metro, Hobsons Bay,1114.00,1171.78
2020,June,1 North West Metro, Hume,4219.00,1734.42
2020,June,1 North West Metro, Maribyrnong,902.00,1010.00
2020,June,1 North West Metro, Melbourne,1780.00,1042.12
2020,June,1 North West Metro, Melton,2870.00,1656.75
2020,June,1 North West Metro, Moonee Valley,1165.00,920.05
2020,June,1 North West Metro, Moreland,2010.00,1117.82
